dataset,modality,context,dimension,subdimension,label,enabled,applicable,na_reason,record_criterion,dataset_aggregation,detector,dose_validated,risk_level,threshold,units,n_records,n_flagged,score,raw_value,exceeds_threshold,details
german_credit,tabular,loan_finance,physical_safety,measurement_range_violation,Implausible safety-relevant measurements,True,False,"context 'loan_finance' not in ['biology', 'chemistry', 'health', 'transportation']; required input 'value_ranges' not set on the dataset spec",any declared measurement field outside its plausible physical range,fraction of records with at least one violation,declared physical plausibility ranges,True,medium,0.05,fraction,,,,,,
german_credit,tabular,loan_finance,physical_safety,safety_critical_edge_case_coverage,Safety-critical edge-case coverage,True,True,,record sits in a declared safety-critical stratum that is under-covered,mean relative shortfall across declared strata,stratum support vs declared minimum,True,medium,0.25,fraction,1000.0,30.0,0.0625,"{""thin_file_young"": {""n"": 145, ""shortfall"": 0.0, ""query"": ""age_years <= 25 and existing_credits <= 1""}, ""large_long_loans"": {""n"": 30, ""shortfall"": 0.25, ""query"": ""credit_amount >= 10000 and duration_months >= 36""}, ""unemployed"": {""n"": 62, ""shortfall"": 0.0, ""query"": ""employment_since == 'A71'""}, ""foreign_applicants"": {""n"": 963, ""shortfall"": 0.0, ""query"": ""foreign_worker == 'A201'""}}",False,"{""detector"": ""declared safety-critical strata vs minimum support"", ""min_stratum_n"": 40, ""record_criterion"": ""record sits in an under-covered safety-critical stratum"", ""aggregation"": ""mean relative shortfall across declared strata"", ""strata"": {""thin_file_young"": {""n"": 145, ""shortfall"": 0.0, ""query"": ""age_years <= 25 and existing_credits <= 1""}, ""large_long_loans"": {""n"": 30, ""shortfall"": 0.25, ""query"": ""credit_amount >= 10000 and duration_months >= 36""}, ""unemployed"": {""n"": 62, ""shortfall"": 0.0, ""query"": ""employment_since == 'A71'""}, ""foreign_applicants"": {""n"": 963, ""shortfall"": 0.0, ""query"": ""foreign_worker == 'A201'""}}, ""n_records"": 1000}"
german_credit,tabular,loan_finance,physical_safety,outcome_severity_exposure,Physical-harm outcome exposure,True,False,"context 'loan_finance' not in ['health', 'transportation']",record outcome is the physical-harm event,base rate of the physical-harm outcome,outcome column base rate,False,medium,0.25,fraction,,,,,,
civilcomments,text,general,content_safety,harm_content_density,Harmful content density,True,True,,record toxicity probability >= 0.50,fraction of records at or above the record threshold,Detoxify (toxicity head),True,medium,0.05,fraction,10000.0,73.0,0.0073,0.020953065002075163,False,"{""detector"": ""detoxify:unbiased"", ""head"": ""toxicity"", ""record_threshold"": 0.5, ""aggregation"": ""fraction of records at or above record_threshold"", ""mean_probability"": 0.020953065002075163, ""n_records"": 10000}"
civilcomments,text,general,content_safety,identity_attack_density,Identity-attack density,True,True,,record identity-attack probability >= 0.50,fraction of records at or above the record threshold,Detoxify (identity_attack head),True,medium,0.02,fraction,10000.0,1.0,0.0001,0.00231899096449597,False,"{""detector"": ""detoxify:unbiased"", ""head"": ""identity_attack"", ""record_threshold"": 0.5, ""aggregation"": ""fraction of records at or above record_threshold"", ""mean_probability"": 0.00231899096449597, ""n_records"": 10000}"
civilcomments,text,general,content_safety,severe_toxicity_density,Severe-toxicity density,True,True,,record severe-toxicity probability >= 0.50,fraction of records at or above the record threshold,Detoxify (severe_toxicity head),True,medium,0.005,fraction,10000.0,0.0,0.0,1.3269738798965135e-05,False,"{""detector"": ""detoxify:unbiased"", ""head"": ""severe_toxicity"", ""record_threshold"": 0.5, ""aggregation"": ""fraction of records at or above record_threshold"", ""mean_probability"": 1.3269738798965135e-05, ""n_records"": 10000}"
civilcomments,text,general,content_safety,label_integrity,Label integrity,True,False,modality 'text' not in ['tabular']; required input 'label_column' not set on the dataset spec,out-of-fold model assigns the observed label p < 0.50,mean out-of-fold disagreement,out-of-fold logistic regression (confident-learning style),True,medium,0.1,fraction,,,,,,
civilcomments,text,general,content_safety,free_text_field_harm,Harmful content in free-text fields,True,False,modality 'text' not in ['tabular'],free-text field toxicity probability >= 0.50,fraction of records at or above the record threshold,Detoxify (toxicity head) on a tabular free-text column,False,medium,0.05,fraction,,,,,,
civilcomments,text,general,content_safety,representation_imbalance,Sub-group under-representation,True,False,modality 'text' not in ['tabular']; required input 'sensitive_columns' not set on the dataset spec,record belongs to a sub-group below the minimum support,total variation distance from expected sub-group shares,empirical sub-group distribution vs reference,True,medium,0.2,fraction,,,,,,
civilcomments,text,general,physical_safety,physical_harm_enablement,Physical-harm enablement density,True,True,,record contains a context hazard term AND an actionability signal,fraction of records that are hazard AND actionable,rule-based hazard lexicon x actionability,True,medium,0.02,fraction,10000.0,10.0,0.001,0.03355,False,"{""detector"": ""rule-based hazard lexicon (general) x actionability"", ""record_criterion"": ""hazard term AND actionability signal"", ""aggregation"": ""fraction of records that are hazard AND actionable"", ""hazard_rate"": 0.015, ""actionable_rate"": 0.0521, ""n_records"": 10000}"
civilcomments,text,general,physical_safety,threat_density,Threat density,True,True,,record threat probability >= 0.50,fraction of records at or above the record threshold,Detoxify (threat head),True,medium,0.02,fraction,10000.0,0.0,0.0,0.0012074281603608142,False,"{""detector"": ""detoxify:unbiased"", ""head"": ""threat"", ""record_threshold"": 0.5, ""aggregation"": ""fraction of records at or above record_threshold"", ""mean_probability"": 0.0012074281603608142, ""n_records"": 10000}"
civilcomments,text,general,physical_safety,measurement_range_violation,Implausible safety-relevant measurements,True,False,"modality 'text' not in ['tabular']; context 'general' not in ['biology', 'chemistry', 'health', 'transportation']; required input 'value_ranges' not set on the dataset spec",any declared measurement field outside its plausible physical range,fraction of records with at least one violation,declared physical plausibility ranges,True,medium,0.05,fraction,,,,,,
civilcomments,text,general,physical_safety,safety_critical_edge_case_coverage,Safety-critical edge-case coverage,True,False,"modality 'text' not in ['tabular']; context 'general' not in ['health', 'loan_finance', 'transportation']; required input 'edge_case_strata' not set on the dataset spec",record sits in a declared safety-critical stratum that is under-covered,mean relative shortfall across declared strata,stratum support vs declared minimum,True,medium,0.25,fraction,,,,,,
civilcomments,text,general,physical_safety,outcome_severity_exposure,Physical-harm outcome exposure,True,False,"modality 'text' not in ['tabular']; context 'general' not in ['health', 'transportation']; required input 'label_column' not set on the dataset spec",record outcome is the physical-harm event,base rate of the physical-harm outcome,outcome column base rate,False,medium,0.25,fraction,,,,,,
